번호	1칸	확률	2칸	확률	3칸	확률	4칸	확률	5칸	확률	6칸	확률
1	152	12.81%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
2	148	12.47%	17	1.43%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
3	112	9.44%	32	2.70%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
4	121	10.19%	47	3.96%	4	0.34%	0	0.00%	0	0.00%	0	0.00%
5	94	7.92%	58	4.89%	12	1.01%	0	0.00%	0	0.00%	0	0.00%
6	86	7.25%	53	4.47%	10	0.84%	1	0.08%	0	0.00%	0	0.00%
7	66	5.56%	53	4.47%	21	1.77%	2	0.17%	0	0.00%	0	0.00%
8	57	4.80%	68	5.73%	20	1.68%	8	0.67%	1	0.08%	0	0.00%
9	70	5.90%	67	5.64%	20	1.68%	4	0.34%	1	0.08%	0	0.00%
10	49	4.13%	71	5.98%	46	3.88%	5	0.42%	1	0.08%	0	0.00%
11	45	3.79%	72	6.07%	34	2.86%	8	0.67%	1	0.08%	0	0.00%
12	38	3.20%	77	6.49%	49	4.13%	10	0.84%	0	0.00%	0	0.00%
13	22	1.85%	58	4.89%	51	4.30%	22	1.85%	1	0.08%	0	0.00%
14	25	2.11%	48	4.04%	51	4.30%	24	2.02%	5	0.42%	0	0.00%
15	22	1.85%	50	4.21%	50	4.21%	21	1.77%	3	0.25%	0	0.00%
16	17	1.43%	52	4.38%	54	4.55%	21	1.77%	9	0.76%	0	0.00%
17	10	0.84%	46	3.88%	52	4.38%	40	3.37%	7	0.59%	0	0.00%
18	11	0.93%	53	4.47%	47	3.96%	36	3.03%	10	0.84%	0	0.00%
19	6	0.51%	50	4.21%	56	4.72%	34	2.86%	13	1.10%	0	0.00%
20	11	0.93%	34	2.86%	55	4.63%	37	3.12%	13	1.10%	1	0.08%
21	2	0.17%	25	2.11%	64	5.39%	44	3.71%	24	2.02%	1	0.08%
22	4	0.34%	25	2.11%	62	5.22%	45	3.79%	13	1.10%	4	0.34%
23	6	0.51%	10	0.84%	50	4.21%	57	4.80%	28	2.36%	3	0.25%
24	5	0.42%	22	1.85%	48	4.04%	57	4.80%	27	2.27%	9	0.76%
25	2	0.17%	19	1.60%	36	3.03%	50	4.21%	31	2.61%	6	0.51%
26	3	0.25%	17	1.43%	53	4.47%	58	4.89%	25	2.11%	16	1.35%
27	2	0.17%	17	1.43%	41	3.45%	54	4.55%	47	3.96%	8	0.67%
28	0	0.00%	11	0.93%	39	3.29%	60	5.05%	57	4.80%	14	1.18%
29	1	0.08%	10	0.84%	34	2.86%	54	4.55%	40	3.37%	17	1.43%
30	0	0.00%	7	0.59%	24	2.02%	57	4.80%	43	3.62%	11	0.93%
31	0	0.00%	8	0.67%	14	1.18%	57	4.80%	54	4.55%	21	1.77%
32	0	0.00%	3	0.25%	24	2.02%	48	4.04%	58	4.89%	31	2.61%
33	0	0.00%	1	0.08%	23	1.94%	47	3.96%	60	5.05%	19	1.60%
34	0	0.00%	3	0.25%	9	0.76%	37	3.12%	75	6.32%	30	2.53%
35	0	0.00%	1	0.08%	13	1.10%	49	4.13%	74	6.23%	32	2.70%
36	0	0.00%	1	0.08%	6	0.51%	25	2.11%	64	5.39%	49	4.13%
37	0	0.00%	1	0.08%	5	0.42%	43	3.62%	60	5.05%	60	5.05%
38	0	0.00%	0	0.00%	5	0.42%	21	1.77%	64	5.39%	61	5.14%
39	0	0.00%	0	0.00%	2	0.17%	12	1.01%	67	5.64%	78	6.57%
40	0	0.00%	0	0.00%	2	0.17%	17	1.43%	58	4.89%	87	7.33%
41	0	0.00%	0	0.00%	0	0.00%	17	1.43%	48	4.04%	86	7.25%
42	0	0.00%	0	0.00%	1	0.08%	3	0.25%	53	4.47%	104	8.76%
43	0	0.00%	0	0.00%	0	0.00%	2	0.17%	31	2.61%	122	10.28%
44	0	0.00%	0	0.00%	0	0.00%	0	0.00%	21	1.77%	141	11.88%
45	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	176	14.83%
